mm,formula,compound,pollutant_category,AVG_savanna,AVG_boreal_forest,AVG_tropical_forest,AVG_temperate_forest,AVG_peat,AVG_chaparral,AVG_open_cooking,AVG_cookstove,AVG_dung_burning,AVG_charcoal_making,AVG_charcoal_burning,AVG_pasture_maintenance,AVG_crop_residue,AVG_garbage_burning,N_savanna,N_boreal_forest,N_tropical_forest,N_temperate_forest,N_peat,N_chaparral,N_open_cooking,N_cookstove,N_dung_burning,N_charcoal_making,N_charcoal_burning,N_pasture_maintenance,N_crop_residue,N_garbage_burning,STD_savanna,STD_boreal_forest,STD_tropical_forest,STD_temperate_forest,STD_peat,STD_chaparral,STD_open_cooking,STD_cookstove,STD_dung_burning,STD_charcoal_making,STD_charcoal_burning,STD_pasture_maintenance,STD_crop_residue,STD_garbage_burning,id,S07,S07T,S18B,S22,MOZT1,geos_chem_species
26.0,C2H2,Acetylene,NMOC_g,0.3535,0.3437,0.438,0.3324,0.1685,0.3478,0.9954,0.6373,1.0094,0.39,0.3689,0.1825,0.2367,0.5978,7.0,9.0,5.0,16.0,7.0,6.0,5.0,14.0,14.0,2.0,2.0,2.0,9.0,4.0,0.2752,0.4734,0.3988,0.1706,0.1767,0.2933,0.5797,0.3415,0.6946,0.297,0.0723,0.1591,0.0973,0.166,InChI=1S/C2H2/c1-2/h1-2H,ACYE,ACYE,ACETL,ACETL,C2H2,
27.0,HCN,HCN,NMOC_g,0.4853,0.9263,0.4233,0.4933,4.6799,0.2683,0.2453,0.3009,2.2086,0.21,,0.4435,0.3206,0.3022,5.0,6.0,3.0,14.0,8.0,5.0,3.0,9.0,12.0,1.0,0.0,2.0,11.0,4.0,0.2083,0.6165,0.215,0.3108,1.6052,0.2743,0.0952,0.2173,2.6757,,,0.1322,0.1436,0.1819,InChI=1S/CHN/c1-2/h1H,NROG,NROG,NROG,NROG,NROG,
28.0,C2H4,Ethene,NMOC_g,1.2044,1.6615,1.058,1.361,1.5265,0.9641,1.6803,1.1999,2.5874,4.4767,0.3868,1.2777,0.8892,2.0651,7.0,7.0,5.0,14.0,7.0,5.0,5.0,13.0,15.0,3.0,3.0,3.0,9.0,5.0,0.7734,1.2846,0.4429,0.5616,0.7057,0.6338,0.7893,0.8578,1.5719,1.5986,0.176,0.1272,0.3412,1.1589,InChI=1S/C2H4/c1-2/h1-2H2,ETHE,ETHE,ETHEN,ETHEN,C2H4,C2H4
29.0,CH3N,Methanimine,NMOC_g,,,,0.001,0.0001,0.0004,,,0.0043,,,,0.0008,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,"InChI=1S/CH3N/c1-2/h2H,1H2",HCHO,HCHO,HCHO,HCHO,CH2O,
30.0,C2H6,Ethane,NMOC_g,0.6135,0.9587,0.708,0.7892,2.5208,0.475,1.5,0.2557,0.8434,12.2,0.405,0.751,0.5242,1.69,4.0,6.0,5.0,14.0,3.0,3.0,1.0,4.0,6.0,1.0,2.0,2.0,6.0,1.0,0.516,0.6807,0.4029,0.4095,1.2125,0.1126,,0.1712,0.6346,,0.3041,0.5459,0.1658,,InChI=1S/C2H6/c1-2/h1-2H3,ALK1,ALK1,ETHAN,ETHAN,C2H6,C2H6
30.0,CH2O,Formaldehyde,NMOC_g,1.6976,1.6793,1.73,2.0364,1.3497,1.2493,2.1184,0.7758,1.5618,2.285,0.5219,1.896,1.7481,1.4608,5.0,7.0,3.0,15.0,7.0,5.0,5.0,12.0,12.0,2.0,2.0,2.0,10.0,4.0,1.2368,0.8178,1.0113,0.4203,0.4326,0.5882,1.2253,0.5017,0.5977,2.2557,0.1105,0.0226,0.6173,0.701,InChI=1S/CH2O/c1-2/h1H2,HCHO,HCHO,HCHO,HCHO,CH2O,
31.0,CH3O,Methanol,NMOC_g,1.2097,2.138,2.4333,1.8268,3.6918,0.9343,2.0499,0.9763,2.0002,43.18,0.8798,6.587,1.6911,0.5616,5.0,7.0,3.0,15.0,7.0,5.0,5.0,13.0,15.0,3.0,2.0,2.0,11.0,4.0,0.5017,0.8704,1.2573,0.7224,2.1789,0.4636,1.0609,0.7341,1.0981,26.4355,0.1841,5.251,1.086,0.3524,"InChI=1S/CH4O/c1-2/h2H,1H3",MEOH,MEOH,MEOH,MEOH,CH3OH,MOH
40.0,C3H4,Propadiene,NMOC_g,0.0375,0.2909,0.0161,0.0204,0.0208,0.009,,0.0176,0.0378,,,0.01,0.0134,0.0547,2.0,2.0,2.0,7.0,2.0,1.0,0.0,4.0,7.0,0.0,0.0,1.0,6.0,1.0,0.0361,0.3381,0.0001,0.0174,,,,0.0043,0.0174,,,,0.0063,,InChI=1S/C3H4/c1-3-2/h1-2H2,OLE1,OLE1,OLE1,OLE1,BIGENE,
40.0,C3H4,Propyne,NMOC_g,0.186,0.029,,0.1121,0.0649,0.1181,,0.0478,0.0988,,,,0.0999,0.1004,1.0,1.0,0.0,10.0,2.0,3.0,0.0,4.0,7.0,0.0,0.0,0.0,6.0,2.0,,,,0.1904,,0.1472,,0.0097,0.0375,,,,0.1241,0.0148,"InChI=1S/C3H4/c1-3-2/h1H,2H3",OLE1,OLE1,ACYLS,ALK5,C2H4,
41.0,C2H3N,Acetonitrile,NMOC_g,0.2349,0.2184,0.41,0.2092,1.638,0.0992,0.0126,0.0126,0.5808,,,0.276,0.2181,0.0835,3.0,4.0,1.0,14.0,4.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0,13.0,2.0,0.1285,0.1874,,0.175,2.2133,0.0562,,0.0144,,,,,0.1903,0.0724,InChI=1S/C2H3N/c1-2-3/h1H3,NROG,NROG,NROG,NROG,NROG,
42.0,C2H2O,Ketene fregments,NMOC_g,1.8747,1.5465,,1.3494,1.4228,0.5699,0.8136,0.7532,,,,,1.2788,0.598,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,0.3499,,,,,,,42.010040999999994_C2H2O,MVK,PRD2,OLEP,KET2,BIGENE,
42.0,C3H6,Propene,NMOC_g,0.7174,0.8264,0.636,0.69,1.8569,0.3465,0.5189,0.2518,1.1399,3.5467,0.726,0.856,0.3704,1.3962,6.0,8.0,5.0,17.0,6.0,6.0,5.0,13.0,15.0,3.0,1.0,3.0,13.0,4.0,0.8743,0.328,0.3999,0.4252,0.8572,0.1454,0.3368,0.2262,0.3224,1.6109,,0.5219,0.1679,0.2946,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3",OLE1,PRPE,PROPE,PROPE,C3H6,
43.0,C2H5N,Ethenamine,NMOC_g,,,,0.0104,0.0051,0.0013,,,0.0303,,,,0.0134,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,0.0013,,,,,,,,,,,"InChI=1S/C2H5N/c1-2-3/h2H,1,3H2",OLE1,OLE1,AMINS,AMINS,C3H6,
44.0,C2H4O,Acetaldehyde,NMOC_g,2.4468,1.5954,1.55,1.5599,1.8092,0.9144,0.4851,0.3879,1.2293,,,1.202,2.1026,1.7729,3.0,2.0,1.0,13.0,4.0,4.0,1.0,7.0,7.0,0.0,0.0,1.0,9.0,3.0,1.5891,0.7006,,0.6238,1.0695,0.7885,,0.2555,0.6597,,,,0.9349,0.4232,"InChI=1S/C2H4O/c1-2-3/h2H,1H3",CCHO,CCHO,MECHO,MECHO,CH3CHO,ALD2
44.0,C3H8,Propane,NMOC_g,0.0967,0.3097,0.126,0.2996,4.0644,0.4163,,0.143,0.3233,,,0.11,0.1711,0.904,3.0,5.0,3.0,12.0,2.0,3.0,0.0,4.0,6.0,0.0,0.0,1.0,6.0,1.0,0.0489,0.1378,0.0761,0.1876,4.3496,0.4095,,0.1074,0.2618,,,,0.0447,,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3",ALK2,ALK2,PROP,PROP,C3H8,C3H8
45.0,CH3NO,Formamide,NMOC_g,,,,0.0276,0.0435,0.0032,,,0.0594,,,,0.0197,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,0.0134,,,,,,,,,,,"InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)",ALK5,ALK5,AMINS,AMINS,C3H6,
45.0,C2H7N,Ethylamine + dimethylamine,NMOC_g,0.0151,0.0162,,0.0317,0.0011,0.0058,0.0306,0.0096,0.006,,,,0.0382,0.0136,1.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,,,,0.0443,,0.0081,,0.0095,,,,,0.0534,,45.05726_C2H7N,ALK5,ALK5,AMINS,AMINS,C3H6,
46.0,C2H6O,Ethanol,NMOC_g,0.309,0.027,,0.1823,0.3366,0.0326,,0.1197,0.1933,,,,0.2472,0.0972,1.0,1.0,0.0,10.0,1.0,2.0,0.0,5.0,7.0,0.0,0.0,0.0,8.0,2.0,,,,0.2272,,0.032,,0.1154,0.3476,,,,0.2918,0.0139,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",ALK3,ETOH,ETOH,ETOH,C2H5OH,EOH
46.0,CH2O2,Formic acid,NMOC_g,0.3825,0.453,0.7876,0.4966,0.414,0.4018,0.26,0.1349,0.2588,0.6636,0.0938,0.1854,0.496,0.2564,5.0,6.0,3.0,14.0,7.0,5.0,5.0,11.0,14.0,3.0,2.0,2.0,10.0,4.0,0.3019,0.1826,0.8941,0.3605,0.2291,0.6149,0.0989,0.0858,0.1398,0.0882,0.0436,0.0872,0.2205,0.165,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",FACD,FACD,HCOOH,HCOOH,HCOOH,HCOOH
48.0,CH4O2,Methane diol,NMOC_g,,,,0.0007,0.0008,0.0002,,,0.0006,,,,0.0012,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,"InChI=1S/CH4O2/c2-1-3/h2-3H,1H2",ALK5,ALK5,OTH3,ALK6,BIGALK,
48.0,CH4S,Methane thiol,NMOC_g,0.0276,0.021,,0.0185,0.0491,0.0052,0.0059,0.0028,0.143,,,,0.0368,0.0033,2.0,2.0,0.0,5.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0148,0.0098,,0.0127,0.0414,0.0036,,0.0002,,,,,0.018,,"InChI=1S/CH4S/c1-2/h2H,1H3",ALK2,ALK2,NROG,NROG,NROG,
