,mm,formula,compound,pollutant_category,AVG_savanna,AVG_boreal_forest,AVG_tropical_forest,AVG_temperate_forest,AVG_peat,AVG_chaparral,AVG_open_cooking,AVG_cookstove,AVG_dung_burning,AVG_charcoal_making,AVG_charcoal_burning,AVG_coal_burning,AVG_pasture_maintenance,AVG_crop_residue,AVG_garbage_burning,N_savanna,N_boreal_forest,N_tropical_forest,N_temperate_forest,N_peat,N_chaparral,N_open_cooking,N_cookstove,N_dung_burning,N_charcoal_making,N_charcoal_burning,N_coal_burning,N_pasture_maintenance,N_crop_residue,N_garbage_burning,STD_savanna,STD_boreal_forest,STD_tropical_forest,STD_temperate_forest,STD_peat,STD_chaparral,STD_open_cooking,STD_cookstove,STD_dung_burning,STD_charcoal_making,STD_charcoal_burning,STD_coal_burning,STD_pasture_maintenance,STD_crop_residue,STD_garbage_burning,smile,S07,S07T,S18B,S22,MOZT1,geos_chem_species,id
0,26.0,C2H2,Acetylene,NMOC_g,0.3535,0.3437,0.438,0.3324,0.1685,0.3478,0.9954,0.6373,1.0094,0.39,0.3689,0.0303,0.1825,0.2367,0.5978,7.0,9.0,5.0,16.0,7.0,6.0,5.0,14.0,14.0,2.0,2.0,3.0,2.0,9.0,4.0,0.2752,0.4734,0.3988,0.1706,0.1767,0.2933,0.5797,0.3415,0.6946,0.297,0.0723,0.0221,0.1591,0.0973,0.166,C#C,ACYE,ACYE,ACETL,ACETL,C2H2,,InChI=1S/C2H2/c1-2/h1-2H
1,27.0,HCN,HCN,NMOC_g,0.4853,0.9263,0.4233,0.4933,4.6799,0.2683,0.2453,0.3009,2.2086,0.21,,1.0553,0.4435,0.3206,0.3022,5.0,6.0,3.0,14.0,8.0,5.0,3.0,9.0,12.0,1.0,0.0,3.0,2.0,11.0,4.0,0.2083,0.6165,0.215,0.3108,1.6052,0.2743,0.0952,0.2173,2.6757,,,0.5286,0.1322,0.1436,0.1819,C#N,NROG,NROG,NROG,NROG,NROG,,InChI=1S/CHN/c1-2/h1H
2,28.0,C2H4,Ethene,NMOC_g,1.2044,1.6615,1.058,1.361,1.5265,0.9641,1.6803,1.1999,2.5874,4.4767,0.3868,0.5861,1.2777,0.8892,2.0651,7.0,7.0,5.0,14.0,7.0,5.0,5.0,13.0,15.0,3.0,3.0,3.0,3.0,9.0,5.0,0.7734,1.2846,0.4429,0.5616,0.7057,0.6338,0.7893,0.8578,1.5719,1.5986,0.176,0.6254,0.1272,0.3412,1.1589,C=C,ETHE,ETHE,ETHEN,ETHEN,C2H4,C2H4,InChI=1S/C2H4/c1-2/h1-2H2
3,29.0,CH3N,Methanimine,NMOC_g,,,,0.001,0.0001,0.0004,,,0.0043,,,,,0.0008,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,C=N,HCHO,HCHO,HCHO,HCHO,,,"InChI=1S/CH3N/c1-2/h2H,1H2"
4,30.0,C2H6,Ethane,NMOC_g,0.6135,0.9587,0.708,0.7892,2.5208,0.475,1.5,0.2557,0.8434,12.2,0.405,2.6861,0.751,0.5242,1.69,4.0,6.0,5.0,14.0,3.0,3.0,1.0,4.0,6.0,1.0,2.0,2.0,2.0,6.0,1.0,0.516,0.6807,0.4029,0.4095,1.2125,0.1126,,0.1712,0.6346,,0.3041,3.7957,0.5459,0.1658,,CC,ALK1,ALK1,ETHAN,ETHAN,C2H6,C2H6,InChI=1S/C2H6/c1-2/h1-2H3
5,30.0,CH2O,Formaldehyde,NMOC_g,1.6976,1.6793,1.73,2.0364,1.3497,1.2493,2.1184,0.7758,1.5618,2.285,0.5219,0.2596,1.896,1.7481,1.4608,5.0,7.0,3.0,15.0,7.0,5.0,5.0,12.0,12.0,2.0,2.0,2.0,2.0,10.0,4.0,1.2368,0.8178,1.0113,0.4203,0.4326,0.5882,1.2253,0.5017,0.5977,2.2557,0.1105,0.251,0.0226,0.6173,0.701,C=O,HCHO,HCHO,HCHO,HCHO,CH2O,,InChI=1S/CH2O/c1-2/h1H2
6,31.0,CH3O,Methanol,NMOC_g,1.2097,2.138,2.4333,1.8268,3.6918,0.9343,2.0499,0.9763,2.0002,43.18,0.8798,0.6873,6.587,1.6911,0.5616,5.0,7.0,3.0,15.0,7.0,5.0,5.0,13.0,15.0,3.0,2.0,3.0,2.0,11.0,4.0,0.5017,0.8704,1.2573,0.7224,2.1789,0.4636,1.0609,0.7341,1.0981,26.4355,0.1841,0.9382,5.251,1.086,0.3524,CO,MEOH,MEOH,MEOH,MEOH,CH3OH,MOH,"InChI=1S/CH4O/c1-2/h2H,1H3"
7,40.0,C3H4,Propadiene,NMOC_g,0.0375,0.2909,0.0161,0.0204,0.02085,0.009,,0.0176,0.03779,,,0.0002,0.01,0.01343,0.0547,2.0,2.0,2.0,7.0,2.0,1.0,0.0,4.0,7.0,0.0,0.0,2.0,1.0,6.0,1.0,0.0361,0.3381,0.0001,0.0174,,,,0.0043,0.0174,,,0.0004,,0.0063,,C=C=C,OLE1,OLE1,OLE1,OLE1,BIGENE,,InChI=1S/C3H4/c1-3-2/h1-2H2
8,40.0,C3H4,Propyne,NMOC_g,0.186,0.029,,0.11207,0.06485,0.1181,,0.0478,0.09883,,,0.0018,,0.09992,0.1004,1.0,1.0,0.0,10.0,2.0,3.0,0.0,4.0,7.0,0.0,0.0,1.0,0.0,6.0,2.0,,,,0.1904,,0.1472,,0.0097,0.0375,,,,,0.1241,0.0148,CC#C,OLE1,OLE1,ACYLS,ALK5,C2H4,,"InChI=1S/C3H4/c1-3-2/h1H,2H3"
9,41.0,C2H3N,Acetonitrile,NMOC_g,0.2349,0.2184,0.41,0.2092,1.638,0.0992,0.0126,0.0126,0.5808,,,,0.276,0.2181,0.0835,3.0,4.0,1.0,14.0,4.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,13.0,2.0,0.1285,0.1874,,0.175,2.2133,0.0562,,0.0144,,,,,,0.1903,0.0724,CC#N,NROG,NROG,NROG,NROG,NROG,,InChI=1S/C2H3N/c1-2-3/h1H3
